Sr_No,Date,StartUp,Vertical,SubVertical,Location,Investors,Round,Amount
2282,2015-11-27,Talentrack,Talent Exchange & Talent,Unknown,New Delhi,Unigrowth Inc,Seed Funding,9.443
2283,2015-11-28,M-Taxi,Two-Wheeler Taxi,Unknown,Gurgaon,"Meep Singh, Jairaj Singh",Seed Funding,9.443
2284,2015-11-30,Baxi,Two-Wheeler Taxi,Unknown,Gurgaon,"Manish Kheterpal, Alok Mittal, Puneet Dalmia,",Seed Funding,13.69235
2285,2015-11-30,Superhero Brands,Character Merchandize Sales,Unknown,Mumbai,Dsg Consumer Partners,Seed Funding,5.09922
2286,2015-11-30,Momagic,Mobile Application Developer,Unknown,New Delhi,Fih Mobile Ltd,Private Equity,9.443
2287,2015-11-30,Qikpod,Ecommerce Delivery Locker,Unknown,Bangalore,"Flipkart, Accel Partners, Delhivery, Foxconn",Private Equity,84.98700000000001
2288,2015-11-30,Butterfly Interactive,Extra Curricular Activities,Unknown,New Delhi,Undisclosed Investors,Seed Funding,9.443
2289,2015-11-30,Bro4U,Hyperlocal Online Home Provider,Unknown,Bangalore,Sargod Ventures,Seed Funding,9.443
2290,2015-10-01,Indifi,Easy Business Loans,Unknown,Gurgaon,"Accel Partners, Elevar Equity, Pramod Bhasin, Rajan Anan, Gaurav Dalmia, Abhishek Goyal, Gagan Hasteer , Arun Tadanki",Seed Funding,9.443
2291,2015-10-01,Wydr,Performance Based Wholesale,Unknown,New Delhi,Seep Aggarwal,Seed Funding,9.443
2292,2015-10-01,Easyfix,Professional,Unknown,Gurgaon,Axilor Ventures,Seed Funding,9.443
2293,2015-10-01,Muvizz,Movie-On-Demand,Unknown,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding,3.3050500000000005
2294,2015-10-01,Abhibus,Us Ticketing And Fleet Management,Unknown,Hyderabad,Paytm (One97 Communications),Private Equity,9.443
2295,2015-10-01,Cleartax,Online Income Tax Filing,Unknown,New Delhi,Paytm (One97 Communications),Private Equity,9.443
2296,2015-10-02,Shopalyst,Product Discovery & Recommendation,Unknown,Bangalore,Kalaari Capital,Private Equity,18.886
2297,2015-10-03,Chillr,Mobile Payments,Unknown,Mumbai,Sequoia Capital,Private Equity,56.658
2298,2015-10-05,Nykaa,Beauty & Wellness Products E-Tailer,Unknown,Mumbai,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,89.70850000000002
2299,2015-10-05,Voylla,Fashion Jewelry And Accessories E-Tailer,Unknown,Jaipur,Peepul Capital,Private Equity,141.645
2300,2015-10-05,Indialends,Online Consumer Lending,Unknown,New Delhi,"Dsg Consumer Partners, Paragon Partners",Private Equity,9.443
2301,2015-10-05,Rock N Shop,Premium Apparel Shopping Portal,Unknown,New Delhi,High Networth Individuals (Undisclosed),Seed Funding,1.4164500000000002
2302,2015-10-06,Docplexus,Exclusive For Doctors & Healthcare Professionals,Unknown,Pune,"Uniqorn Ventures, Asp Consulting",Seed Funding,6.610100000000001
2303,2015-10-06,Workindia,Job Board,Unknown,Mumbai,"Satyen Kothari, Keshav Sanghi, Riddhesh Ghi & Others",Seed Funding,4.7215
2304,2015-10-06,Sportzvillage,Sports Management & Physical Education Business,Unknown,Bangalore,Gaja Capital Private Equity Fund,Private Equity,94.43
2305,2015-10-06,Sportybeans,Multi-Sport Program For Preschoolers,Unknown,Pune,Youwecan Ventures,Seed Funding,9.443
2306,2015-10-06,Burger Singh,Qsr & Online Delivery Portal,Unknown,Gurgaon,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",Seed Funding,4.7215
2307,2015-10-06,Welcome Cure,Online Homeopathy Clinic,Unknown,Mumbai,Unnamed Media House  Hnis,Private Equity,56.658
2308,2015-10-07,Schoolguru,E-Learning Provider,Unknown,Mumbai,High Networth Individuals From India & Usa,Private Equity,28.329
2309,2015-10-07,Naturally Yours,Organic Food Etailer,Unknown,Mumbai,Sanjay Mehta,Seed Funding,9.443
2310,2015-10-07,Gojavas,Delivery & Logistics Provider,Unknown,Gurgaon,Snapdeal,Private Equity,188.86
2311,2015-10-07,Scandid,Product Discovery & Comparison,Unknown,Pune,Micromax Informatics,Private Equity,9.443
2312,2015-10-07,Stalkbuylove,Online Apparels Fashion Brand,Unknown,New Delhi,"Mato Peric, Peter Kabel & Others",Private Equity,9.443
2313,2015-10-08,Zupermeal,Home Cooked Food & Delivery,Unknown,Mumbai,"Sanjeev Kapoor, Ravi Saxena & Others",Private Equity,18.886
2314,2015-10-08,Cube26,Gesture Based Mobile Development,Unknown,New Delhi,"Tiger Global Management, Flipkart",Private Equity,72.7111
2315,2015-10-08,Mobikon,Hotel Mobile Crm Software,Unknown,Pune/Singapore,"Life.Sreda, Qualgro",Private Equity,9.443
2316,2015-10-08,Grabhouse,Rental Accommodation Search,Unknown,Bangalore,Sequoia  Kalaari Capital.,Private Equity,94.43
2317,2015-10-08,Quifers,Logistics Tech,Unknown,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding,2.9273300000000004
2318,2015-10-09,Stockroom.Io,Developer Portfolio Showcase,Unknown,Hyderabad,Undisclosed Investors,Seed Funding,0.6610100000000001
2319,2015-10-09,Curofy,Doctors Network Mobile,Unknown,New Delhi,Roundglass Partners,Private Equity,9.443
2320,2015-10-09,Cloud Lending,End-To-End Lending,Unknown,Bangalore/San Mateo,Sf Capital Group,Private Equity,75.544
2321,2015-10-09,Inayo,On-Demand Healthcare,Unknown,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath  Others",Seed Funding,2.8329000000000004
2322,2015-10-09,Wonobo,360-Degree View Creating,Unknown,Bangalore,Quikr,Private Equity,9.443
2323,2015-10-09,Kulzy,Advertising & Marketing Community Networking,Unknown,New Delhi,"Seedfund, Bedrock Ventures",Seed Funding,9.443
2324,2015-10-09,Zeppery,Food Ordering & Delivery,Unknown,New Delhi,Suyash Sharma,Seed Funding,0.7271110000000001
2325,2015-10-12,Zify,Ride Sharing,Unknown,Hyderabad,Sean O\\Xe2\\X80\\X99Sullivan & Others,Seed Funding,1.79417
2326,2015-10-12,Faircent,Online P2P Lending,Unknown,Gurgaon,Aarin Capital Partners,Private Equity,9.443
2327,2015-10-12,Bizongo,B2B For Industrial Goods,Unknown,Mumbai,Accel Partners,Seed Funding,9.443
2328,2015-10-12,Gridle,Cloud Based Collaboration,Unknown,Ahmedabad,Letsventure,Seed Funding,0.9443
2329,2015-10-12,Tripoto,Global Community For Travellers,Unknown,New Delhi,"500 Startups, Idg Ventures & Advantedge Fund, Neeraj Arora, Leon Seynave",Private Equity,9.443
2330,2015-10-12,Mubble,Prepaid Bill Manager,Unknown,Bangalore,Accel Partners,Private Equity,9.443
2331,2015-10-13,Voodoo,Mobile Only Shopping Assistant,Unknown,New Delhi,Saif Partners,Seed Funding,9.443
2332,2015-10-13,Lookup,Mobile Messaging Assistant,Unknown,Bangalore,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European Investment Fund",Private Equity,23.6075
2333,2015-10-14,Askmygift,Personalized Wish List Creator,Unknown,Noida,Turning Ideas,Seed Funding,0.47215
2334,2015-10-14,Gaana.Com,Music Streaming Mobile,Unknown,Mumbai,Micromax Informatics Ltd,Private Equity,9.443
2335,2015-10-14,Zappfresh,Raw Meat & Ready To Eat Food Etailer,Unknown,Gurgaon,Undisclosed Investors,Seed Funding,0.7271110000000001
2336,2015-10-14,Gymtrekker,Gym Discovery,Unknown,Mumbai,"Dewang Neralla,Roopak Taneja, Manisha Gupta",Seed Funding,9.443
2337,2015-10-15,Bounty App,Online Purchase Rewards,Unknown,Bangalore,"Fireside Ventures, Mumbai Angels Mape Advisory Group.",Seed Funding,9.443
2338,2015-10-16,Homers.In,Home Rental,Unknown,Gurgaon,"Devesh Rai G, Rajesh Aggarwal, Amitpal Bhutani",Seed Funding,9.443
2339,2015-10-16,Mshipper,Crowdsourced Delivery,Unknown,New Delhi,Vijai Laxmi,Seed Funding,9.443
2340,2015-10-16,Bolrealty,Real Estate Insights,Unknown,New Delhi,Manpreet Singh,Seed Funding,9.443
2341,2015-10-17,S-Cube Futuretech,Structural & Civil Engg Automation,Unknown,Mumbai,Parampara Capital,Private Equity,9.443
2342,2015-10-19,Letsventure,Startup Funding,Unknown,Bangalore,"Accel Partners, Anupam Mittal & Other Marquee Investors",Private Equity,9.443
2343,2015-10-19,Citrus Payment,Payments,Unknown,Mumbai,"Sequoia Capital, Ascent Capital, Econtext Asia, Beenos Asia",Private Equity,236.075
2344,2015-10-19,Holidify,Travel Destination Discovery,Unknown,New Delhi,Aarti Group,Seed Funding,0.9443
2345,2015-10-20,Primaseller,Order Fulfillment Saas,Unknown,Bangalore,"Dr. Aniruddha Malpani Manish Gupta, M&S Partners & Others",Seed Funding,9.443
2346,2015-10-20,Opinio,Last Mile Delivery,Unknown,Bangalore,"Delhivery, Ss Capital  Accel Partners",Private Equity,66.101
2347,2015-10-20,Attune Technologies,Healthcare It &,Unknown,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,94.43
2348,2015-10-20,Ichef.In,Gourmet Meals Delivery,Unknown,Mumbai,Springboard Ventures,Private Equity,9.443
2349,2015-10-21,Jiyo Natural,Healthy Meals Food Delivery,Unknown,Bangalore,Indian Angel Network,Seed Funding,9.443
2350,2015-10-21,Agentdesks,Real Estate Mobile Crm,Unknown,New York/India,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed Funding,27.85685
2351,2015-10-21,White Owl Brewery,Micro-Brewery,Unknown,Mumbai,"Arihant Patni, Raay Global Investments",Private Equity,14.44779
2352,2015-10-21,Mealhopper,Home Made Food,Unknown,Gurgaon,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding,0.9443
2353,2015-10-21,Zenify.In,Residential Rental Management,Unknown,Bangalore,"Atul Jalan, Shrikanth & Bharath",Seed Funding,6.043520000000001
2354,2015-10-21,Stockal,Personalized Stock Intelligence,Unknown,Bangalore,"R Natarajan, Mohan Alexer",Seed Funding,9.443
2355,2015-10-23,Medd,Personal Diagnostic Mobile,Unknown,Mumbai,Group Of Angel Investors,Seed Funding,1.4164500000000002
2356,2015-10-23,Leaping Caravan,Online Food Ordering & Delivery,Unknown,Gurgaon,Group Of Angel Investors,Seed Funding,1.4164500000000002
2357,2015-10-23,Frsh,Online Food Ordering & Delivery,Unknown,Gurgaon,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Private Equity,9.443
2358,2015-10-23,Qik Stay,Hotel Aggregator & Booking,Unknown,New Delhi,Id Enablers Pvt Ltd,Seed Funding,2.36075
2359,2015-10-26,Parcelled,Online Logistics,Unknown,Bangalore,Delhivery,Private Equity,47.215
2360,2015-10-26,Almamapper,Online Student & Campus Social Networking,Unknown,Ahmedabad,Oswal Techno Ventures Llp,Seed Funding,3.7772
2361,2015-10-26,Flexing It,Professionals & Project Search,Unknown,New Delhi,Undisclosed Private Investors,Seed Funding,4.7215
2362,2015-10-26,Netmeds.Com,Online Pharmacy,Unknown,Chennai,"Orbimed, Pradip Dadha Group",Private Equity,472.15
2363,2015-10-26,Razorpay,Online Payment Gateway,Unknown,Jaipur,"Tiger Global Management, Matrix Partners",Private Equity,84.98700000000001
2364,2015-10-27,Jombay,Psychometric Test Online Software,Unknown,Pune,Ventureworks India,Private Equity,9.443
2365,2015-10-27,Happitoo,Location Based Nightlife Recommendation,Unknown,Mumbai,Unnamed Investor,Seed Funding,0.7271110000000001
2366,2015-10-27,Care24,Professional Health,Unknown,Mumbai,India Quotient,Seed Funding,3.3050500000000005
2367,2015-10-27,Roadrunnr,Hyperlocal Logistics,Unknown,Bangalore,"Sequoia Capital, Nexus Venture Partners",Private Equity,94.43
2368,2015-10-27,Simpli5D,Online User Engagement,Unknown,Gurgaon,"Redcliffe Capital, Yournest Angel Fund",Private Equity,9.443
2369,2015-10-28,Origa Leasing,Asset Financing,Unknown,Mumbai,"Ah! Ventures, 500 Startups & Other Hnis",Seed Funding,10.387300000000002
2370,2015-10-28,Smartivity.In,Virtual Reality Activity Based Learning,Unknown,New Delhi,S Ch  Co Pvt Ltd,Seed Funding,1.8886
2371,2015-10-28,Urdoorstep,Online Grocery Store,Unknown,Bangalore,Jupiter Capital,Private Equity,9.443
2372,2015-10-29,Tavaga,Investment Management,Unknown,Mumbai,Tracxn Syndicate,Seed Funding,9.443
2373,2015-10-29,Moglix,Industrial Toons,Unknown,Noida,"Accel Partner, Jungle Ventures",Private Equity,9.443
2374,2015-10-29,Zophop,Public Commute Helper,Unknown,Mumbai,"Amit Singhal, Pk Gulati & Others",Seed Funding,4.24935
2375,2015-10-30,Niki.Ai,Artificial Intelligence Ecommerce Chatbot,Unknown,Bangalore,Unilazer Ventures,Seed Funding,9.443
2376,2015-10-30,Instavans,Truck Aggregator & Logistics,Unknown,Bangalore,Suresh Vaswani,Seed Funding,9.443
2377,2015-10-30,Lifto,Ridesharing Mobile,Unknown,Mumbai,"Rajesh Bhatia, Dheeraj Mehta & Others",Seed Funding,1.22759
2378,2015-10-30,Tinyowl,Food Discovery & Delivery Mobile,Unknown,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,70.8225
2379,2015-10-30,Toppr.Com,Competitive Exam Learning,Unknown,Mumbai,Innoven Capital,Private Equity,18.886
2380,2015-10-30,Kleeto,Document Digitization,Unknown,Gurgaon,Grex,Seed Funding,2.17189
2381,2015-10-30,Beaconstalk,Proximity Marketing & Mobile Advertising,Unknown,Mumbai,Puneet Bhatia & Others,Seed Funding,0.7554400000000001
2382,2015-10-31,Jugnoo,Autorickshaw Aggregator & Booking,Unknown,Ch/igarh,Paytm,Private Equity,94.43
2383,2015-09-01,Toflo,Fintech Startup Incubation,Unknown,Mumbai,Tania Johny Palathinkal,Seed Funding,0.9443
2384,2015-09-01,Fxmartindia,Payment,Unknown,Ch/igarh,Flipkart,Private Equity,9.443
2385,2015-09-01,Stylecracker,Personalized Styling,Unknown,Mumbai,Group Of Hni Investors,Private Equity,9.443
2386,2015-09-01,Luxuryhues,Luxury Goods  Shopping,Unknown,Gurgaon,Reliance Capital,Private Equity,8.4987
2387,2015-09-02,Holachef,Food Delivery,Unknown,Mumbai,Ratan Tata,Private Equity,9.443
2388,2015-09-02,Zivame,Online Lingerie,Unknown,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,377.72
2389,2015-09-02,Capillary Tech,Cloud Software,Unknown,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,424.93500000000006
2390,2015-09-03,Jobspire,Job Search,Unknown,Bangalore,Purvi Capital,Seed Funding,2.45518
2391,2015-09-03,Meradoctor,Doctor Consultancy Mobile,Unknown,Mumbai,India Quotient & Other Investors,Seed Funding,9.443
2392,2015-09-03,Vistaar Finance,Small Business Financing (Nbfc),Unknown,Bangalore,"Westbridge Capital, Omidyar Network, Elevar Equity, Saama Capital, Lok Capital",Private Equity,377.72
2393,2015-09-03,Hijinny,Beauty & Wellness,Unknown,Mumbai,Cmyk Health Boutique Pvt Ltd & Other Individual Investors,Seed Funding,9.443
2394,2015-09-04,Clapsnslaps,Online Movie Review,Unknown,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,1.4164500000000002
2395,2015-09-04,Blubox,Ecommerce Brands' Full Agency,Unknown,Mumbai,Ashish Jhalani,Seed Funding,0.9443
2396,2015-09-04,Roomcentral,Cloud-Based Hotel Booking,Unknown,Bangalore,Karanpal Singh,Seed Funding,18.886
2397,2015-09-07,Youthkiawaaz,Community Driven News/Views,Unknown,New Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,5.665800000000001
2398,2015-09-07,Prozo,Study Material,Unknown,New Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & Others",Seed Funding,1.935815
2399,2015-09-07,Zomato,Restaurant Ratings & Reviews,Unknown,Gurgaon,"Temasek, Vy Capital",Private Equity,566.58
2400,2015-09-07,Sahayog Dairy,Dairy Based Product Manufacturer,Unknown,Bhopal,Acumen Fund,Private Equity,16.9974
2401,2015-09-08,Mockbank,Government Test Preparation,Unknown,Bangalore,Blume Ventures,Seed Funding,3.7772
2402,2015-09-08,Reportbee,Smart Report Cards For Schools,Unknown,Chennai,India Educational Investment Fund,Seed Funding,9.443
2403,2015-09-08,Gurug Learning,Teacher Empowerment,Unknown,Bangalore,India Educational Investment Fund,Seed Funding,9.443
2404,2015-09-10,Onlinetyari,Multilingual Test Preparation,Unknown,Gurgaon,"500 Startups, Tv Mohas Pai, Tem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,7.27111
2405,2015-09-10,Industrybuying,Industrial Tools,Unknown,New Delhi,"Kalaari Capital, Saif Partners, Beenextan Investment Fund",Private Equity,86.8756
2406,2015-09-10,The/Nudge Foundation,Non Profit Organization To Alleviate Poverty,Unknown,Bangalore,"Nanadan Nilekani, Inmobi, Paytm",Seed Funding,2.9745450000000004
2407,2015-09-11,Fitmein,Gym & Fitness Studios Subscription,Unknown,New Delhi,Green House Ventures,Seed Funding,0.9443
2408,2015-09-11,Envoged,Pre-Used Luxury Item,Unknown,Mumbai,"Ankush Nijhawan, Manish Dhingra, Gaurav Bhatnagar",Seed Funding,9.443
2409,2015-09-11,Zapyle,Pre-Used Apparel Shopping Mobile,Unknown,Bangalore,Undisclosed,Seed Funding,9.443
2410,2015-09-11,Renomania,Home Design & Decor,Unknown,New Delhi,Subodh Gupta,Seed Funding,9.443
2411,2015-09-12,Credr,Used Vehicles,Unknown,Mumbai,Eight Road Ventures,Private Equity,141.645
2412,2015-09-12,Yatragenie,Online Bus & Cab Ticketing,Unknown,Hyderabad,Ash Bhardwaj,Private Equity,9.443
2413,2015-09-14,Canvasflip,Mobile Testing,Unknown,Hyderabad,Bessemer Venture Partners,Seed Funding,11.331600000000002
2414,2015-09-14,Shadowfax,Hyperlocal Delivery,Unknown,Gurgaon,Eight Roads Ventures,Private Equity,84.98700000000001
2415,2015-09-14,Ue Life Sciences,Early Cancer Detection,Unknown,US/India,"Aarin Capital, Unitus Seed Fund",Private Equity,28.329
2416,2015-09-14,Ola Cabs,Cab Rental Mobile,Unknown,Bangalore,"Falcon Edge Capital, Ny Based Hedge Fund, Tiger Global, Softbank",Private Equity,2124.675
2417,2015-09-15,Coverfox,Online Insurance Distribution,Unknown,Mumbai,Cataraman Ventures,Private Equity,18.886
2418,2015-09-15,Moengage,Mobile Marketing Automation,Unknown,Bangalore,"Helion Venture Partners, Exfinity Ventures",Private Equity,40.13275
2419,2015-09-15,Mubble,Prepaid Mobile Bill Manager,Unknown,Bangalore,Nan Nilekani,Seed Funding,9.443
2420,2015-09-15,Tea Trails,Chain Of Tea Cafe'S,Unknown,Mumbai,"Anil Matai, Vikram Ton, Shyam Sundar R & Others",Seed Funding,9.443
2421,2015-09-15,Room On Call,Branded Budget Hotel,Unknown,Noida,Payal Syal,Seed Funding,2.8329000000000004
2422,2015-09-15,Fyne,Home Fitting & Fixtures,Unknown,Bangalore,Seep Dama & Others,Seed Funding,9.443
2423,2015-09-16,Chaipoint,Food Subscription,Unknown,Bangalore,Eight Roads Ventures,Private Equity,94.43
2424,2015-09-16,Wedmegood.Com,Wedding Planning,Unknown,Gurgaon,Indian Angel Network,Seed Funding,3.87163
2425,2015-09-16,Xstok,B2B Mobile Auction,Unknown,Mumbai,Oliphans Capital,Seed Funding,4.24935
2426,2015-09-17,Unilog,Ecommerce Data Analytics,Unknown,Bangalore,Kalaari Capital,Private Equity,9.443
2427,2015-09-17,Paintcollar,Designer Merchandize,Unknown,Mumbai,Applyifi,Seed Funding,9.443
2428,2015-09-17,Yepme,Private Label Fashion Etailer,Unknown,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,708.2250000000001
2429,2015-09-17,Bueno,Online Food Ordering & Delivery,Unknown,Gurgaon,High Networth Individuals (No Details),Seed Funding,5.665800000000001
2430,2015-09-18,Plabro,Real Estate Broker,Unknown,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,3.3050500000000005
2431,2015-09-18,Curejoy,Online Health & Wellness,Unknown,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,10.85945
2432,2015-09-18,Briston Technomach,Internet Of Things,Unknown,New Delhi,Undisclosed,Seed Funding,1.4164500000000002
2433,2015-09-18,Labstreet,Diagnostic Labs Aggregator,Unknown,Gurgaon,Multiple Investors,Seed Funding,1.4164500000000002
2434,2015-09-19,Dailyninja,Hyperlocal Delivery,Unknown,Bangalore,"Aprameya Radhakrishna, Naman Sarawagi, Afsal Salu,",Seed Funding,9.443
2435,2015-09-21,Portea Medical,Home Medical Care,Unknown,Bangalore,"Accel Partners, International Finance Corporation (Ifc), Qualcomm Ventures, Ventureast",Private Equity,354.11250000000007
2436,2015-09-21,Neotrade Analytics,Real-Time Stock Data,Unknown,Bangalore,Rainmatter,Seed Funding,2.219105
2437,2015-09-21,Dishco,Food Discovery & Table Booking,Unknown,Mumbai,"An Mahindra, Uday Punj, Ashish Hemrajani, Sanjeev Mehra",Seed Funding,9.443
2438,2015-09-21,Lafalafa,Coupons And Cashback Aggregator,Unknown,Mumbai,500 Startups,Seed Funding,1.180375
2439,2015-09-21,Connectabank,Financial Products Lead Generation,Unknown,Mumbai,Prakhar Bumb,Seed Funding,9.443
2440,2015-09-22,Villfarm,Sustainable Agri-Inputs Firm,Unknown,Bangalore,"Unitus Seed Fund, Rianta Capital, R Ramaraj, Sunil Edwards",Seed Funding,9.443
2441,2015-09-22,Bestdealfinance,Financial Portal,Unknown,Mumbai,"Kalaari Capital, Yournest Angel Fund",Private Equity,28.329
2442,2015-09-22,Gamexs.In,Pre-Owned Games,Unknown,New Delhi,Lead Angels,Seed Funding,9.443
2443,2015-09-22,The Man Company,Content-Based Subscription Ecommerce,Unknown,New Delhi,"Karan Bajwa, Amanpreet Bajaj, Manish Vij",Seed Funding,9.443
2444,2015-09-22,Virtual Logic,"Virtual Reality, 3D Simulation And Stereoscopic Products",Unknown,Bangalore,Swarnim Multiventures,Private Equity,7.5544
2445,2015-09-22,Furdo,Online Interior Designing,Unknown,Bangalore,Bhavdeep Reddy,Seed Funding,3.7772
2446,2015-09-22,Loginext,End-To-End Logistics,Unknown,Mumbai,Paytm,Private Equity,94.43
2447,2015-09-22,Korra,Private Label Apparel Sales,Unknown,New Delhi,Asha Jadeja Motwani & Others,Seed Funding,2.8329000000000004
2448,2015-09-23,Credihealth,Healthcare Consulting,Unknown,Gurgaon,Rajat Malhotra,Seed Funding,9.443
2449,2015-09-23,Amigobulls,Stock Market Portal,Unknown,Bangalore,"Sharad Sharma, Vijay An, Mohas Pai. Pallav Nadhani, Singapore Angels Network & Others",Seed Funding,9.443
2450,2015-09-23,Silverpush,Cross-Device Retargeting,Unknown,Gurgaon/SFO,M&S Partners,Private Equity,11.331600000000002
2451,2015-09-23,Juggernaut,Digital & Physical Publishing,Unknown,New Delhi,"William Bissell, Neeraj Aggarwal, Nan Nilekani",Private Equity,21.246750000000002
2452,2015-09-23,Innerchef,Food Delivery,Unknown,New Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & Others",Private Equity,16.52525
2453,2015-09-24,Quintype,Data Driven Publishing,Unknown,Bangalore,Raghav Bahl,Private Equity,31.1619
2454,2015-09-24,Capabiliti,Employee Onboarding & Orientation,Unknown,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding,3.7772
2455,2015-09-24,Fourth Partner Energy,Solar Power Company,Unknown,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,18.886
2456,2015-09-24,Licious,Online Meat Ordering,Unknown,Bangalore,"Kanwaljit Singh, Tv Mohas Pai",Seed Funding,9.443
2457,2015-09-25,Travelkhana,Online Meal-Booking For Train Travelers,Unknown,New Delhi,Astarc Ventures & Others,Seed Funding,9.443
2458,2015-09-28,Quickli,Hyperlocal Delivery,Unknown,New Delhi,"500 Startups, Mato Peric & Others",Seed Funding,9.443
2459,2015-09-28,Ola Cabs,Cab Booking,Unknown,Bangalore,Didi Kuaidi,Private Equity,283.29
2460,2015-09-29,Paytm,E-Commerce & M-Commerce,Unknown,New Delhi,"Alibaba Group, Ant Financial",Private Equity,6421.240000000001
2461,2015-09-29,Inmobi,Mobile Advertising,Unknown,Bangalore,Tennenbaum Capital Partners & Others,Private Equity,944.3
2462,2015-09-29,Peppertap,Hyperlocal Grocery Delivery,Unknown,Gurgaon,"Sequoia India, Saif Partners.",Private Equity,339.94800000000004
2463,2015-09-29,Hugefly,Ecommerce Product Recommendation,Unknown,Pune,Mayank Singhal  Others,Seed Funding,9.443
2464,2015-09-29,Brigge,Activity Based Social Network,Unknown,Chennai,The Chennai Angels,Seed Funding,9.443
2465,2015-09-29,Zakoopi,Fashion Discovery,Unknown,New Delhi,Uniqorn Ventures,Seed Funding,3.3050500000000005
2466,2015-09-29,Loancircle,Consumer Lending,Unknown,Bangalore,"Zishaan Hayath, Rahul Khanna & Others",Seed Funding,9.443
2467,2015-09-30,Infoworks,Big Data Management,Unknown,Bangalore/USA,"Nexus Venture Partners, Knoll Ventures  Others",Private Equity,47.215
2468,2015-09-30,Reddoorz,Budget Accommodation,Unknown,Noida,Jungle Ventures,Seed Funding,9.443
2469,2015-09-30,Firsttouch,Local Mobile Os,Unknown,Gurgaon,"Kunal Bahl, Rohit Bansal, Pranay Chulet, Naveen Tiwari, Amit Gupta, Mayank Singhal",Seed Funding,9.443
2470,2015-09-30,Eywa Media,Digital Signal Processing,Unknown,Bangalore,"Ah! Ventures, Viktor Koenig Pe Fund, Mantra Ventures",Seed Funding,9.443
2471,2015-08-01,Snapdeal,Ecommerce,Unknown,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,4721.5
2472,2015-08-01,Ressy,Restaurant Discount,Unknown,Pune,Mohas Pai & Others,Seed Funding,3.7772
2473,2015-08-03,Cuelearn,Tech-Enabled Learning,Unknown,New Delhi,Alok Mittal,Seed Funding,9.443
2474,2015-08-03,Connect India,Ecommerce Logistics Provider,Unknown,New Delhi,Aavishkaar,Private Equity,47.215
2475,2015-08-03,The Home Salon,On-Demand Home Beauty And Wellness Portal,Unknown,Mumbai,Venturenursery,Seed Funding,9.443
2476,2015-08-03,Jusride,Self Driven Car Rental,Unknown,Mumbai,"Alok Mittal, Zeeshan Hayat, Niraj Singh, Nikunj Jain, Anirudh Damani, Punit Goyal",Seed Funding,9.443
2477,2015-08-03,Oyorooms,Budget Hotel Accommodation Brand,Unknown,New Delhi,"Softbank Group, Greenoaks Capital, Sequoia Capital, Lightspeed India",Private Equity,944.3
2478,2015-08-03,Glowship,Energy & Environment Online,Unknown,Bangalore,Infuse Ventures,Seed Funding,9.443
2479,2015-08-03,Wizrocket,User Engagment & Analytics,Unknown,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,90.65280000000001
2480,2015-08-04,Pickingo,On-Demand Delivery Logistics,Unknown,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,12.275900000000002
2481,2015-08-05,Grex,Fund Raising For Startups,Unknown,Pune,"Kunal Bajaj, Chru Badrinarayanan",Seed Funding,6.137950000000001
2482,2015-08-05,Letstransport,Logistics Tech,Unknown,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,12.275900000000002
2483,2015-08-05,Zo Rooms,Online Budget Hotel Chain,Unknown,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,283.29
2484,2015-08-05,Doormint,Hyperlocal Handyman,Unknown,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,28.329
